Source title;EEF;BMA;CS
Communications for Statistical Applications and Methods;Q3;NA;NA
Journal of Applied Statistics;NA;NA;NA
Empirical Economics;Q2;NA;NA
Journal of Financial Economics;Q1;Q1;NA
European Financial Management;Q1;Q1;NA
Journal of Portfolio Management;Q2;Q2;NA
IEEE Transactions on Fuzzy Systems;NA;NA;Q1
Complexity;NA;NA;Q2
Journal of Economics and Finance;Q2;NA;NA
Accounting and Finance;Q1;Q2;NA
Australian Journal of Management;NA;Q2;NA
Scottish Journal of Political Economy;Q3;NA;NA
German Economic Review;Q3;NA;NA
Engineering Economics;Q3;Q2;NA
Journal of Business and Economic Statistics;Q1;NA;NA
International Journal of Economics and Management;Q3;Q3;NA
Investment Analysts Journal;Q3;Q3;NA
Global Business Review;NA;Q2;NA
Electronic Markets;Q1;Q1;Q1
Journal of Advanced Computational Intelligence and Intelligent Informatics;NA;NA;Q3
Revista Contabilidade e Financas;Q4;Q4;NA
Review of Derivatives Research;Q2;NA;NA
Proceedings of the National Academy of Sciences of the United States of America;NA;NA;NA
Vikalpa;NA;Q4;NA
Abstract and Applied Analysis;NA;NA;NA
Advances in Intelligent and Soft Computing;NA;NA;NA
AUCO Czech Economic Review;NA;NA;NA
Japanese Economic Review;Q2;NA;NA
Discrete Dynamics in Nature and Society;NA;NA;NA
Journal of Applied Economic Sciences;NA;NA;NA
Econometric Reviews;Q1;NA;NA
American Journal of Applied Sciences;NA;NA;NA
Spanish Economic Review;NA;NA;NA
Journal of Applied Statistical Science;NA;NA;NA
Economic Computation and Economic Cybernetics Studies and Research;Q3;NA;Q3
Review of Economics and Statistics;Q1;NA;NA
Economic Change and Restructuring;Q2;NA;NA
Financial Review;Q1;NA;NA
Federal Reserve Bank of St. Louis Review;NA;Q2;NA
Applied Financial Economics;NA;NA;NA
International Journal of Business and Society;Q3;Q3;NA
International Research Journal of Finance and Economics;NA;NA;NA
Journal of Applied Economics;Q2;NA;NA
Political Analysis;NA;NA;NA
Managerial Finance;Q2;Q2;NA
Journal of Economic Theory and Econometrics;Q4;NA;NA
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090018479&doi=10.1016%2fj.chaos.2020.110252&partnerID=40&md5=5f9defd77e5498428201ed7a637f5920;
